,date,Name,state,FIPS,positive,AQI,date_str
874,2020-03-09,Maine,ME,23,27,39.28571429,03/09/2020
288,2020-03-09,District of Columbia,DC,11,73,34.42857143,03/09/2020
580,2020-03-09,Illinois,IL,17,298,41.28571429,03/09/2020
1,2020-03-09,Alaska,AK,2,0,53.14285714,03/09/2020
1910,2020-03-09,Vermont,VT,50,31,34.28571429,03/09/2020
1416,2020-03-09,New York,NY,36,3057,35.85714286,03/09/2020
458,2020-03-16,Hawaii,HI,15,207,36.28571429,03/16/2020
499,2020-03-16,Iowa,IA,19,398,39.28571429,03/16/2020
1417,2020-03-16,New York,NY,36,61410,42.14285714,03/16/2020
875,2020-03-16,Maine,ME,23,454,41.28571429,03/16/2020
917,2020-03-16,Michigan,MI,26,43592,54.85714286,03/16/2020
166,2020-03-16,California,CA,6,7629,75.57142857,03/16/2020
1958,2020-03-16,Washington,WA,53,18950,37.28571429,03/16/2020
1746,2020-03-16,Tennessee,TN,47,2044,39.71428571,03/16/2020
623,2020-03-16,Indiana,IN,18,790,57.14285714,03/16/2020
834,2020-03-16,Maryland,MD,24,1120,20.75,03/16/2020
1828,2020-03-16,Utah,UT,49,878,58.71428571,03/16/2020
664,2020-03-16,Kansas,KS,20,310,31.14285714,03/16/2020
330,2020-03-16,Delaware,DE,10,278,43.0,03/16/2020
1581,2020-03-16,Pennsylvania,PA,42,2176,41.71428571,03/16/2020
1870,2020-03-16,Virginia,VA,51,977,40.28571429,03/16/2020
705,2020-03-16,Kentucky,KY,21,387,45.28571429,03/16/2020
1540,2020-03-16,Oregon,OR,41,790,34.28571429,03/16/2020
376,2020-03-16,Florida,FL,12,3344,36.14285714,03/16/2020
1623,2020-03-16,Rhode Island,RI,44,542,51.0,03/16/2020
207,2020-03-16,Colorado,CO,8,2825,56.28571429,03/16/2020
581,2020-03-16,Illinois,IL,17,4529,52.71428571,03/16/2020
746,2020-03-16,Louisiana,LA,22,3786,30.71428571,03/16/2020
1911,2020-03-16,Vermont,VT,50,257,43.0,03/16/2020
1499,2020-03-16,Oklahoma,OK,40,340,40.57142857,03/16/2020
1664,2020-03-16,South Carolina,SC,45,879,29.57142857,03/16/2020
417,2020-03-16,Georgia,GA,13,2929,27.85714286,03/16/2020
793,2020-03-16,Massachusetts,MA,25,2468,42.42857143,03/16/2020
540,2020-03-16,Idaho,ID,16,170,30.0,03/16/2020
248,2020-03-16,Connecticut,CT,9,1231,31.28571429,03/16/2020
1705,2020-03-16,South Dakota,SD,46,110,32.66666667,03/16/2020
289,2020-03-16,District of Columbia,DC,11,454,35.42857143,03/16/2020
1787,2020-03-16,Texas,TX,48,1474,41.0,03/16/2020
