State Name,State Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
AL,1,8/2/20,46,Good,Ozone,01-073-1003,9
AL,1,8/3/20,45,Good,Ozone,01-073-0023,9
AL,1,8/4/20,60,Moderate,PM2.5,01-073-6004,9
AL,1,8/5/20,71,Moderate,Ozone,01-073-6002,9
AL,1,8/6/20,80,Moderate,Ozone,01-073-0023,9
AL,1,8/7/20,80,Moderate,Ozone,01-073-1005,9
AL,1,8/8/20,97,Moderate,Ozone,01-073-1003,9
AL,1,8/9/20,77,Moderate,Ozone,01-073-1010,9
AL,1,8/10/20,62,Moderate,PM2.5,01-073-6004,9
AL,1,8/11/20,56,Moderate,PM2.5,01-073-0023,9
AL,1,8/12/20,58,Moderate,Ozone,01-073-1010,9
AL,1,8/13/20,49,Good,Ozone,01-073-6002,9
AL,1,8/14/20,40,Good,PM2.5,01-073-6004,9
AL,1,8/15/20,39,Good,Ozone,01-073-1010,9
AL,1,8/16/20,59,Moderate,PM2.5,01-073-2003,9
AL,1,8/17/20,55,Moderate,PM2.5,01-073-6004,9
AL,1,8/18/20,97,Moderate,Ozone,01-073-1005,9
AL,1,8/19/20,67,Moderate,Ozone,01-073-1005,9
AL,1,8/20/20,47,Good,Ozone,01-073-1003,9
AL,1,8/21/20,43,Good,Ozone,01-073-1010,9
AL,1,8/22/20,48,Good,PM2.5,01-073-6004,9
AL,1,8/23/20,52,Moderate,PM2.5,01-073-2003,9
AL,1,8/24/20,56,Moderate,PM2.5,01-073-1010,9
AL,1,8/25/20,25,Good,PM2.5,01-073-2003,9
AL,1,8/26/20,65,Moderate,PM2.5,01-073-2003,9
AL,1,8/27/20,50,Good,PM2.5,01-073-2003,9
AL,1,8/28/20,24,Good,Ozone,01-073-1010,8
AL,1,8/29/20,48,Good,PM2.5,01-073-2003,9
AL,1,8/30/20,36,Good,PM2.5,01-073-2003,9
AL,1,8/31/20,46,Good,PM2.5,01-073-2003,9
AL,1,9/1/20,3,Good,CO,01-073-2059,2
AK,2,1/1/20,26,Good,PM2.5,02-020-0018,3
AK,2,1/2/20,28,Good,PM2.5,02-020-0018,3
AK,2,1/3/20,52,Moderate,PM2.5,02-020-0018,3
AK,2,1/4/20,91,Moderate,PM2.5,02-020-0018,3
AK,2,1/5/20,67,Moderate,PM2.5,02-020-0018,3
AK,2,1/6/20,61,Moderate,PM2.5,02-020-0018,3
AK,2,1/7/20,53,Moderate,PM2.5,02-020-0018,3
AK,2,1/8/20,51,Moderate,PM2.5,02-020-0018,3
AK,2,1/9/20,56,Moderate,PM2.5,02-020-0018,3
AK,2,1/10/20,74,Moderate,PM2.5,02-020-0018,3
AK,2,1/11/20,79,Moderate,PM2.5,02-020-0018,3
AK,2,1/12/20,34,Good,PM2.5,02-020-0018,3
AK,2,1/13/20,25,Good,PM2.5,02-020-0018,3
AK,2,1/14/20,40,Good,PM2.5,02-020-0018,3
AK,2,1/15/20,58,Moderate,PM2.5,02-020-0018,3
AK,2,1/16/20,60,Moderate,PM2.5,02-020-0018,3
AK,2,1/17/20,71,Moderate,PM2.5,02-020-0018,3
AK,2,1/18/20,54,Moderate,PM2.5,02-020-0018,3
AK,2,1/19/20,43,Good,PM2.5,02-020-0018,3
AK,2,1/20/20,15,Good,PM2.5,02-020-0018,3
AK,2,1/21/20,40,Good,PM2.5,02-020-0018,3
AK,2,1/22/20,19,Good,PM2.5,02-020-0018,3
AK,2,1/23/20,19,Good,PM2.5,02-020-0018,3
AK,2,1/24/20,56,Moderate,PM2.5,02-020-0018,3
AK,2,1/25/20,48,Good,PM2.5,02-020-0018,3
