State Name,Date,concat,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting,COVID,,,state,date,concat,positive
AL,6/22/20,AL.6/22/20,37,Good,Ozone,01-073-6002,9,238249,,,IN,3/16/20,IN.3/16/20,790
AL,6/23/20,AL.6/23/20,36,Good,Ozone,01-073-1005,9,not in list,,,VA,3/16/20,VA.3/16/20,977
AL,6/24/20,AL.6/24/20,30,Good,PM2.5,01-073-2003,8,not in list,,,KS,3/16/20,KS.3/16/20,310
AL,6/25/20,AL.6/25/20,49,Good,PM2.5,01-073-6004,8,not in list,,,KY,3/16/20,KY.3/16/20,387
AL,6/26/20,AL.6/26/20,121,Unhealthy for Sensitive Groups,PM2.5,01-073-2003,9,not in list,,,IA,3/16/20,IA.3/16/20,398
AL,6/27/20,AL.6/27/20,95,Moderate,PM2.5,01-073-2003,9,not in list,,,LA,3/16/20,LA.3/16/20,3786
AL,6/28/20,AL.6/28/20,50,Good,PM2.5,01-073-2003,9,not in list,,,TX,3/16/20,TX.3/16/20,1474
AL,6/29/20,AL.6/29/20,42,Good,PM2.5,01-073-6004,9,290676,,,MA,3/16/20,MA.3/16/20,2468
AL,6/30/20,AL.6/30/20,55,Moderate,PM2.5,01-073-6004,9,not in list,,,MD,3/16/20,MD.3/16/20,1120
AL,7/1/20,AL.43837,38,Good,PM2.5,01-073-6004,9,not in list,,,ME,3/16/20,ME.3/16/20,454
AL,7/2/20,AL.43868,40,Good,PM2.5,01-073-1010,9,not in list,,,SD,3/16/20,SD.3/16/20,110
AL,7/3/20,AL.43897,61,Moderate,Ozone,01-073-1005,9,not in list,,,MI,3/16/20,MI.3/16/20,43592
AL,7/4/20,AL.43928,66,Moderate,PM2.5,01-073-2003,9,not in list,,,UT,3/16/20,UT.3/16/20,878
AL,7/5/20,AL.43958,70,Moderate,PM2.5,01-073-2003,9,not in list,,,ND,3/16/20,ND.3/16/20,128
AL,7/6/20,AL.43989,45,Good,PM2.5,01-073-2003,9,353508,,,MS,3/16/20,MS.3/16/20,781
AL,7/7/20,AL.44019,39,Good,Ozone,01-073-1003,8,not in list,,,AK,3/16/20,AK.3/16/20,114
AL,7/8/20,AL.44050,48,Good,PM2.5,01-073-6004,9,not in list,,,AZ,3/16/20,AZ.3/16/20,678
AL,7/9/20,AL.44081,56,Moderate,PM2.5,01-073-6004,9,not in list,,,AR,3/16/20,AR.3/16/20,654
AL,7/10/20,AL.44111,64,Moderate,PM2.5,01-073-6004,9,not in list,,,AS,3/16/20,AS.3/16/20,0
AL,7/11/20,AL.44142,44,Good,Ozone,01-073-5003,9,not in list,,,AL,3/16/20,AL.3/16/20,660
AL,7/12/20,AL.44172,42,Good,PM2.5,01-073-0023,9,not in list,,,UT,3/23/20,UT.3/23/20,3654
AL,7/13/20,AL.7/13/20,44,Good,Ozone,01-073-0023,9,441637,,,OR,3/23/20,OR.3/23/20,2792
AL,7/14/20,AL.7/14/20,74,Moderate,Ozone,01-073-6002,9,not in list,,,ME,3/23/20,ME.3/23/20,1336
AL,7/15/20,AL.7/15/20,80,Moderate,Ozone,01-073-6002,9,not in list,,,GU,3/23/20,GU.3/23/20,334
AL,7/16/20,AL.7/16/20,64,Moderate,Ozone,01-073-1003,9,not in list,,,AK,3/23/20,AK.3/23/20,547
AL,7/17/20,AL.7/17/20,61,Moderate,Ozone,01-073-1003,9,not in list,,,NM,3/23/20,NM.3/23/20,1294
AL,7/18/20,AL.7/18/20,59,Moderate,PM2.5,01-073-0023,9,not in list,,,WY,3/23/20,WY.3/23/20,458
AL,7/19/20,AL.7/19/20,57,Moderate,PM2.5,01-073-1010,9,not in list,,,MS,3/23/20,MS.3/23/20,4029
AL,7/20/20,AL.7/20/20,61,Moderate,Ozone,01-073-1010,9,530927,,,IN,3/23/20,IN.3/23/20,7000
AL,7/21/20,AL.7/21/20,56,Moderate,PM2.5,01-073-1005,9,not in list,,,NE,3/23/20,NE.3/23/20,620
AL,7/22/20,AL.7/22/20,45,Good,PM2.5,01-073-1005,9,not in list,,,GA,3/23/20,GA.3/23/20,13625
AL,7/23/20,AL.7/23/20,34,Good,Ozone,01-073-5003,9,not in list,,,TX,3/23/20,TX.3/23/20,11992
AL,7/24/20,AL.7/24/20,33,Good,Ozone,01-073-5003,9,not in list,,,RI,3/23/20,RI.3/23/20,2013
AL,7/25/20,AL.7/25/20,33,Good,Ozone,01-073-2003,9,not in list,,,VT,3/23/20,VT.3/23/20,1270
AL,7/26/20,AL.7/26/20,40,Good,Ozone,01-073-0023,9,not in list,,,CO,3/23/20,CO.3/23/20,12157
AL,7/27/20,AL.7/27/20,41,Good,Ozone,01-073-0023,9,613087,,,IL,3/23/20,IL.3/23/20,22108
AL,7/28/20,AL.7/28/20,35,Good,Ozone,01-073-6002,9,not in list,,,NH,3/23/20,NH.3/23/20,1219
AL,7/29/20,AL.7/29/20,32,Good,PM2.5,01-073-1010,9,not in list,,,NY,3/23/20,NY.3/23/20,316698
AL,7/30/20,AL.7/30/20,56,Moderate,PM2.5,01-073-2003,9,not in list,,,IA,3/23/20,IA.3/23/20,1741
AL,7/31/20,AL.7/31/20,59,Moderate,PM2.5,01-073-2003,9,not in list,,,PA,3/23/20,PA.3/23/20,16115
AL,8/1/20,AL.43838,46,Good,PM2.5,01-073-2003,9,not in list,,,VI,3/23/20,VI.3/23/20,145
AL,8/2/20,AL.43869,46,Good,Ozone,01-073-1003,9,not in list,,,VA,3/23/20,VA.3/23/20,4394
AL,8/3/20,AL.43898,45,Good,Ozone,01-073-0023,9,685990,,,WV,3/23/20,WV.3/23/20,521
AL,8/4/20,AL.43929,60,Moderate,PM2.5,01-073-6004,9,not in list,,,MN,3/23/20,MN.3/23/20,4386
AL,8/5/20,AL.43959,71,Moderate,Ozone,01-073-6002,9,not in list,,,ID,3/23/20,ID.3/23/20,1236
AL,8/6/20,AL.43990,80,Moderate,Ozone,01-073-0023,9,not in list,,,MO,3/23/20,MO.3/23/20,4417
AL,8/7/20,AL.44020,80,Moderate,Ozone,01-073-1005,9,not in list,,,CT,3/23/20,CT.3/23/20,9884
AL,8/8/20,AL.44051,97,Moderate,Ozone,01-073-1003,9,not in list,,,MI,3/23/20,MI.3/23/20,95776
AL,8/9/20,AL.44082,77,Moderate,Ozone,01-073-1010,9,not in list,,,HI,3/23/20,HI.3/23/20,814
AL,8/10/20,AL.44112,62,Moderate,PM2.5,01-073-6004,9,745520,,,MP,3/23/20,MP.3/23/20,6
